# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Transmission cyclic
#
# Region:                       VB3
# Spectrum ID:                  10
# Acquisition Date:             06/01/22 10:11:06 UTC
# Analysis Method:              XPS
# Analyzer Lens:                SmallArea:1.5kV
# Analyzer Slit:                4:7x20c\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 311
# Dwell Time:                   0.1
# Excitation Energy:            1486.61
# Kinetic Energy:               1456.61
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1850
# Eff. Workfunction:            4.14
# Source:                       X-Ray Dummy
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 10

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/01/22 10:11:06 UTC
# ColumnLabels:                 energy counts/s
#
1456.61  179.31675
1456.71  164.97161
1456.81  168.43736
1456.91  162.55796
1457.01  173.1909
1457.11  186.27383
1457.21  190.79204
1457.31  155.58627
1457.41  148.91552
1457.51  164.45385
1457.61  152.50843
1457.71  163.4468
1457.81  180.39162
1457.91  173.71017
1458.01  164.32608
1458.11  178.31019
1458.21  170.9885
1458.31  146.11485
1458.41  149.96234
1458.51  152.15739
1458.61  167.70013
1458.71  161.25102
1458.81  152.06912
1458.91  169.99225
1459.01  160.98248
1459.11  164.60718
1459.21  170.60186
1459.31  182.30901
1459.41  177.73216
1459.51  166.65883
1459.61  188.41476
1459.71  169.43619
1459.81  163.33914
1459.91  159.84724
1460.01  157.62976
1460.11  169.19931
1460.21  174.48711
1460.31  168.64137
1460.41  186.04571
1460.51  169.96919
1460.61  173.25096
1460.71  150.96054
1460.81  177.3892
1460.91  182.56574
1461.01  182.21511
1461.11  160.1407
1461.21  176.19639
1461.31  201.89429
1461.41  169.26034
1461.51  153.66532
1461.61  136.85741
1461.71  158.2438
1461.81  185.0395
1461.91  189.24703
1462.01  175.10368
1462.11  159.50717
1462.21  163.32022
1462.31  148.33207
1462.41  175.44024
1462.51  180.71425
1462.61  170.10703
1462.71  163.35819
1462.81  190.54414
1462.91  189.60435
1463.01  170.93866
1463.11  157.96992
1463.21  157.65551
1463.31  181.47706
1463.41  177.06043
1463.51  162.0719
1463.61  170.20193
1463.71  156.94129
1463.81  176.83909
1463.91  180.3164
1464.01  150.17365
1464.11  171.04269
1464.21  165.09202
1464.31  173.94178
1464.41  177.00637
1464.51  160.34184
1464.61  161.98596
1464.71  179.57294
1464.81  159.00334
1464.91  181.97693
1465.01  180.55643
1465.11  176.64459
