# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Transmission cyclic
#
# Region:                       CuLMM
# Spectrum ID:                  11
# Acquisition Date:             06/01/22 10:51:19 UTC
# Analysis Method:              XPS
# Analyzer Lens:                SmallArea:1.5kV
# Analyzer Slit:                4:7x20c\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 201
# Dwell Time:                   0.1
# Excitation Energy:            1486.61
# Kinetic Energy:               906.61
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1850
# Eff. Workfunction:            4.14
# Source:                       X-Ray Dummy
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 25

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/01/22 10:51:19 UTC
# ColumnLabels:                 energy counts/s
#
906.61  4724.6815
906.71  4716.6853
906.81  4729.8621
906.91  4700.1283
907.01  4763.107
907.11  4732.4353
907.21  4690.0641
907.31  4586.7645
907.41  4701.2785
907.51  4791.1608
907.61  4774.9083
907.71  4650.8732
907.81  4737.8379
907.91  4752.7189
908.01  4740.1315
908.11  4760.3102
908.21  4734.2424
908.31  4664.0901
908.41  4689.4842
908.51  4725.8601
908.61  4760.7455
908.71  4706.1482
908.81  4713.2328
908.91  4706.6695
909.01  4757.6018
909.11  4731.7592
909.21  4718.7417
909.31  4708.8356
909.41  4777.4819
909.51  4841.3519
909.61  4725.9995
909.71  4744.8033
909.81  4793.7702
909.91  4755.1098
910.01  4781.418
910.11  4784.2349
910.21  4755.496
910.31  4775.8828
910.41  4836.0507
910.51  4808.1275
910.61  4846.152
910.71  4866.2
910.81  4849.5318
910.91  4886.9234
911.01  4877.6974
911.11  4820.4801
911.21  4833.5821
911.31  4969.6227
911.41  4911.6751
911.51  4942.5645
911.61  4980.3165
911.71  4924.7513
911.81  4921.6907
911.91  4933.443
912.01  4949.8133
912.11  4971.6195
912.21  5009.4307
912.31  4938.0385
912.41  5024.4792
912.51  5019.9119
912.61  5037.3796
912.71  5030.0699
912.81  5015.8031
912.91  5053.9564
