# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Transmission cyclic
#
# Region:                       Ga3pP2p3
# Spectrum ID:                  12
# Acquisition Date:             06/01/22 10:52:06 UTC
# Analysis Method:              XPS
# Analyzer Lens:                SmallArea:1.5kV
# Analyzer Slit:                4:7x20c\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 351
# Dwell Time:                   0.1
# Excitation Energy:            1486.61
# Kinetic Energy:               1351.61
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1850
# Eff. Workfunction:            4.14
# Source:                       X-Ray Dummy
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 16

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/01/22 10:52:06 UTC
# ColumnLabels:                 energy counts/s
#
1351.61  830.94228
1351.71  812.27411
1351.81  800.35238
1351.91  793.38304
1352.01  744.34158
1352.11  770.06353
1352.21  784.61265
1352.31  785.46054
1352.41  815.76085
1352.51  844.19584
1352.61  784.28042
1352.71  794.28579
1352.81  812.68574
1352.91  777.07683
1353.01  766.77163
1353.11  758.22916
1353.21  787.40206
1353.31  797.03302
1353.41  785.71817
1353.51  798.69214
1353.61  816.32217
1353.71  781.91716
1353.81  744.02267
1353.91  767.52802
1354.01  772.51474
1354.11  765.35956
1354.21  796.78787
1354.31  719.28043
1354.41  761.16936
1354.51  763.30467
1354.61  782.69218
1354.71  749.03511
1354.81  755.76822
1354.91  730.69515
1355.01  771.28464
1355.11  778.26983
1355.21  745.24975
1355.31  771.22612
1355.41  817.70552
1355.51  803.17262
1355.61  819.80095
1355.71  819.45037
1355.81  871.112
1355.91  879.64914
1356.01  919.38098
1356.11  990.90933
1356.21  1064.969
1356.31  1159.3927
1356.41  1233.2691
1356.51  1249.1221
1356.61  1282.875
1356.71  1305.9436
1356.81  1245.3256
1356.91  1271.4078
1357.01  1325.3922
1357.11  1478.3762
1357.21  1633.8796
1357.31  1675.9806
1357.41  1681.4437
1357.51  1495.9705
1357.61  1393.7518
1357.71  1253.1332
1357.81  1105.6716
1357.91  967.78101
1358.01  906.28595
1358.11  851.73703
1358.21  818.2621
1358.31  816.99065
1358.41  814.86297
1358.51  788.40189
1358.61  819.39098
1358.71  827.6244
1358.81  821.90157
1358.91  813.4038
1359.01  785.60261
1359.11  826.18252
1359.21  823.50876
1359.31  862.15579
1359.41  869.35001
1359.51  799.79745
1359.61  815.677
1359.71  799.22637
1359.81  816.82747
1359.91  820.41984
1360.01  832.37422
1360.11  840.45382
1360.21  887.8314
1360.31  882.96853
1360.41  870.49375
1360.51  868.80675
1360.61  912.4261
1360.71  906.08718
1360.81  883.37248
1360.91  905.64437
1361.01  882.58229
1361.11  936.79482
1361.21  925.51771
1361.31  926.20007
1361.41  987.68196
1361.51  976.24547
1361.61  954.70199
1361.71  1025.9004
1361.81  1022.483
1361.91  981.18473
1362.01  1015.4986
1362.11  1047.013
1362.21  1109.327
1362.31  1126.4298
1362.41  1101.9583
1362.51  1137.1966
1362.61  1143.4742
1362.71  1240.855
1362.81  1192.5879
1362.91  1184.382
1363.01  1182.9712
1363.11  1188.9644
1363.21  1209.1899
1363.31  1194.9888
1363.41  1178.0761
1363.51  1156.3799
1363.61  1114.4708
1363.71  1118.3552
1363.81  1121.4957
1363.91  1089.7057
1364.01  1071.2021
1364.11  1064.7726
1364.21  1027.7932
1364.31  967.41352
1364.41  1004.2698
1364.51  990.42788
1364.61  985.90821
1364.71  958.22843
1364.81  916.27406
1364.91  934.80953
1365.01  901.15118
1365.11  907.19234
1365.21  903.82032
1365.31  912.78003
1365.41  952.8354
1365.51  886.72144
1365.61  817.01953
1365.71  839.73711
1365.81  853.62777
1365.91  828.34481
1366.01  816.91442
1366.11  847.68899
1366.21  791.63368
1366.31  773.54719
1366.41  793.4899
1366.51  788.17903
1366.61  772.93777
1366.71  795.50868
1366.81  779.17421
1366.91  759.22256
1367.01  785.26007
1367.11  779.63985
1367.21  752.08549
1367.31  738.95603
1367.41  776.95064
1367.51  741.58475
1367.61  730.05418
1367.71  739.6432
1367.81  733.61948
1367.91  760.1006
1368.01  734.62554
1368.11  741.52305
1368.21  690.4759
1368.31  732.80743
1368.41  720.65589
1368.51  718.67466
1368.61  725.41765
1368.71  732.06787
1368.81  707.83941
1368.91  688.0533
1369.01  708.92878
1369.11  681.32982
1369.21  722.1145
1369.31  700.3966
1369.41  714.51564
1369.51  664.98967
1369.61  670.39708
1369.71  682.66797
1369.81  702.28538
1369.91  681.30943
1370.01  652.57571
1370.11  679.25763
1370.21  651.56217
1370.31  645.70847
1370.41  683.35129
1370.51  697.07833
1370.61  664.4378
1370.71  683.34683
1370.81  670.94026
1370.91  688.10952
1371.01  661.52777
1371.11  671.00477
1371.21  688.08253
1371.31  649.01283
1371.41  687.61308
1371.51  663.47948
1371.61  669.50158
1371.71  660.9239
1371.81  689.93542
1371.91  651.16724
1372.01  636.86132
1372.11  645.54572
1372.21  685.93131
1372.31  664.18553
1372.41  651.53008
1372.51  651.89873
1372.61  667.01123
1372.71  660.87854
1372.81  691.84251
1372.91  666.08275
1373.01  671.96065
1373.11  649.35035
1373.21  667.5041
1373.31  673.85892
1373.41  639.49939
1373.51  640.76619
1373.61  663.13507
1373.71  667.64956
1373.81  642.1345
1373.91  642.55932
1374.01  682.29634
1374.11  653.18332
1374.21  680.17726
1374.31  688.94333
1374.41  673.65616
1374.51  698.09364
1374.61  683.02811
1374.71  660.13693
1374.81  657.93731
1374.91  668.56592
1375.01  682.98368
1375.11  716.05791
1375.21  681.61098
1375.31  686.76858
1375.41  680.71337
1375.51  683.91801
1375.61  688.22213
1375.71  715.56091
1375.81  701.9303
1375.91  716.83628
1376.01  732.85934
1376.11  764.2523
1376.21  764.24192
1376.31  742.97724
1376.41  757.00518
1376.51  794.55231
1376.61  802.89453
1376.71  830.41028
1376.81  865.1311
1376.91  890.31858
1377.01  878.42162
1377.11  887.89932
1377.21  927.42085
1377.31  955.93384
1377.41  925.05146
1377.51  952.86606
1377.61  952.18387
1377.71  1023.4088
1377.81  1014.3752
1377.91  971.6882
1378.01  1024.4614
1378.11  1006.849
1378.21  1009.5536
1378.31  999.27554
1378.41  1035.5511
1378.51  989.03114
1378.61  950.44511
1378.71  959.40582
1378.81  891.26984
1378.91  909.11859
1379.01  909.87899
1379.11  858.15145
1379.21  856.38337
1379.31  888.88011
1379.41  902.24408
1379.51  878.91908
1379.61  880.16759
1379.71  879.54033
1379.81  919.76476
1379.91  938.93047
1380.01  980.75909
1380.11  982.53497
1380.21  1036.9078
1380.31  1033.3584
1380.41  1021.2597
1380.51  1034.9458
1380.61  1082.5628
1380.71  1113.703
1380.81  1150.8853
1380.91  1183.4557
1381.01  1184.9825
1381.11  1201.5963
1381.21  1289.6272
1381.31  1300.6412
1381.41  1282.0525
1381.51  1298.9485
1381.61  1236.8185
1381.71  1249.5629
1381.81  1301.0851
1381.91  1266.5833
1382.01  1214.1344
1382.11  1128.9764
1382.21  1133.1484
1382.31  1071.6302
1382.41  1004.9423
1382.51  986.33042
1382.61  993.75532
1382.71  956.94051
1382.81  910.67829
1382.91  886.75017
1383.01  885.28722
1383.11  847.17572
1383.21  860.41894
1383.31  809.55663
1383.41  775.07001
1383.51  748.35137
1383.61  729.79655
1383.71  792.91363
1383.81  758.88839
1383.91  735.37143
1384.01  717.05924
1384.11  703.96666
1384.21  681.38092
1384.31  742.4955
1384.41  683.43311
1384.51  680.17872
1384.61  665.78752
1384.71  689.78343
1384.81  670.12027
1384.91  683.16882
1385.01  661.19937
1385.11  663.78869
1385.21  661.47512
1385.31  655.77248
1385.41  641.41919
1385.51  648.95025
1385.61  659.298
1385.71  666.08159
1385.81  636.00882
1385.91  632.39146
1386.01  639.72843
1386.11  624.708
1386.21  615.35504
1386.31  600.86831
1386.41  624.28127
1386.51  659.73764
1386.61  658.67788

# External Channel Data Cycle: 0, Temp1_Sen [K] (EBH 150)
#
# ColumnLabels: energy Temp1_Sen [K] (EBH 150)
#
1351.61 415.44925000000001
1351.71 415.44918749999999
1351.81 415.4503125
1351.91 415.45093750000001
1352.01 415.45093750000001
1352.11 415.44987499999991
1352.21 415.45012499999996
1352.31 415.44868749999995
1352.41 415.44868749999989
1352.51 415.44937499999992
1352.61 415.45006249999994
1352.71 415.44631249999998
1352.81 415.44631249999998
1352.91 415.44493749999998
1353.01 415.44587499999994
1353.11 415.44593749999996
1353.21 415.44637500000005
1353.31 415.44681250000014
1353.41 415.44450000000006
1353.51 415.44450000000006
1353.61 415.44487500000002
1353.71 415.4425
1353.81 415.44312500000001
1353.91 415.44318750000002
1354.01 415.44181249999997
1354.11 415.44181249999997
1354.21 415.44256249999995
1354.31 415.44199999999995
1354.41 415.44193749999994
1354.51 415.4405625
1354.61 415.44049999999999
1354.71 415.43787499999996
1354.81 415.43831250000005
1354.91 415.43768749999998
1355.01 415.43793750000003
1355.11 415.43681250000003
1355.21 415.43649999999997
1355.31 415.43681250000003
1355.41 415.43749999999994
1355.51 415.43749999999994
1355.61 415.43474999999995
1355.71 415.4355625
1355.81 415.43462499999998
1355.91 415.43543750000003
1356.01 415.43593749999991
1356.11 415.43624999999997
1356.21 415.43518749999998
1356.31 415.43550000000005
1356.41 415.43262500000009
1356.51 415.43287500000002
1356.61 415.43293750000004
1356.71 415.43037500000003
1356.81 415.4308125
1356.91 415.429125
1357.01 415.429125
1357.11 415.426875
1357.21 415.42731249999997
1357.31 415.42674999999997
1357.41 415.42693750000001
1357.51 415.42693750000001
1357.61 415.42593749999997
1357.71 415.426625
1357.81 415.42468749999995
1357.91 415.42231249999998
1358.01 415.42337500000002
1358.11 415.42337500000002
1358.21 415.42168749999996
1358.31 415.42143750000002
1358.41 415.42000000000002
1358.51 415.41862500000002
1358.61 415.41868749999992
1358.71 415.4190625
1358.81 415.4190625
1358.91 415.41931249999993
1359.01 415.41949999999991
1359.11 415.41562499999998
1359.21 415.41568749999999
1359.31 415.41412499999996
1359.41 415.41412499999996
1359.51 415.414625
1359.61 415.414625
1359.71 415.41550000000001
1359.81 415.41550000000001
1359.91 415.41418749999997
1360.01 415.41249999999997
1360.11 415.41343749999993
1360.21 415.41362499999997
1360.31 415.41399999999999
1360.41 415.41012499999999
1360.51 415.41062499999998
1360.61 415.40681249999994
1360.71 415.4068125
1360.81 415.40800000000002
1360.91 415.40800000000002
1361.01 415.40806250000003
1361.11 415.4079375
1361.21 415.40543750000001
1361.31 415.40350000000001
1361.41 415.40350000000001
1361.51 415.40168750000009
1361.61 415.40193750000003
1361.71 415.40293750000001
1361.81 415.40237500000001
1361.91 415.40262500000006
1362.01 415.40162499999997
1362.11 415.40200000000004
1362.21 415.40200000000004
1362.31 415.40037500000005
1362.41 415.40037500000005
1362.51 415.40037500000005
1362.61 415.39800000000002
1362.71 415.39831249999997
1362.81 415.39862500000004
1362.91 415.39756249999999
1363.01 415.39768750000002
1363.11 415.39850000000001
1363.21 415.392875
1363.31 415.3925625
