# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Transmission cyclic
#
# Region:                       Cu2p4
# Spectrum ID:                  14
# Acquisition Date:             06/01/22 13:17:24 UTC
# Analysis Method:              XPS
# Analyzer Lens:                SmallArea:1.5kV
# Analyzer Slit:                4:7x20c\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 501
# Dwell Time:                   0.5
# Excitation Energy:            1486.61
# Kinetic Energy:               511.61
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1850
# Eff. Workfunction:            4.14
# Source:                       X-Ray Dummy
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 10

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/01/22 13:17:24 UTC
# ColumnLabels:                 energy counts/s
#
511.61  2091.5383
511.71  2083.455
511.81  2083.8265
511.91  2089.6984
512.01  2090.0024
512.11  2105.3894
512.21  2084.7839
512.31  2104.3356
512.41  2099.2319
512.51  2064.6937
512.61  2089.2806
512.71  2064.2825
512.81  2051.9375
512.91  2064.0508
513.01  2061.4895
513.11  2118.0884
513.21  2078.8918
513.31  2054.7452
513.41  2085.3572
513.51  2050.3592
513.61  2074.6997
513.71  2095.9853
513.81  2064.2181
513.91  2079.7469
514.01  2065.8373
514.11  2081.2914
514.21  2092.9015
514.31  2092.5255
514.41  2090.3151
514.51  2107.3122
514.61  2102.1999
514.71  2092.9348
514.81  2104.7332
514.91  2080.9733
515.01  2108.7949
515.11  2070.1077
515.21  2076.4227
515.31  2096.4565
515.41  2115.332
515.51  2145.5019
515.61  2078.7182
515.71  2073.5567
515.81  2082.497
515.91  2098.2821
516.01  2119.0351
516.11  2098.2539
516.21  2107.9452
516.31  2060.7607
516.41  2079.4562
516.51  2099.7153
516.61  2077.2577
516.71  2095.8557
516.81  2081.9813
516.91  2075.5083
517.01  2066.3758
517.11  2066.0584
517.21  2085.6243
517.31  2102.5762
517.41  2088.4422
517.51  2083.7216
517.61  2083.6643
517.71  2116.6249
517.81  2104.0343
517.91  2096.7062
518.01  2096.8949
518.11  2100.8833
518.21  2079.0007
518.31  2102.5752
518.41  2086.8494
518.51  2063.2138
518.61  2078.9932
518.71  2067.5483
518.81  2125.5864
518.91  2067.0136
519.01  2041.4949
519.11  2085.6962
519.21  2084.4402
519.31  2073.9756
519.41  2101.8829
519.51  2095.9341
519.61  2068.915
519.71  2061.0208
519.81  2077.1726
519.91  2064.8379
520.01  2074.7008
520.11  2074.9984
520.21  2093.803
520.31  2068.1393
520.41  2058.8148
520.51  2044.3388
520.61  2069.7627
520.71  2095.2177
520.81  2084.4273
520.91  2015.3054
521.01  2039.9592
521.11  2061.5377
521.21  2077.7197
521.31  2071.6886
521.41  2056.5704
521.51  2091.7732
521.61  2055.4628
521.71  2041.682
521.81  2055.9182
521.91  1999.5299
522.01  2025.5883
522.11  2022.9719
522.21  2025.9091
522.31  2003.2174
522.41  1991.2499
522.51  2049.8593
522.61  2027.6919
522.71  2036.68
522.81  2038.6539
522.91  2004.0573
523.01  2026.1301
523.11  2060.9985
523.21  2051.8817
523.31  2016.0671
523.41  1985.0802
523.51  1979.4145
523.61  1986.8353
523.71  2015.6257
523.81  1992.5908
523.91  1991.7537
524.01  1992.8725
524.11  1996.5449
524.21  1969.4468
524.31  2003.5605
524.41  1989.6405
524.51  1990.0717
524.61  1974.6131
524.71  2005.7676
524.81  2018.63
524.91  2026.0917
525.01  2016.8507
525.11  2007.6897
525.21  1946.8363
525.31  1995.4331
525.41  1988.9091
525.51  1987.2989
525.61  1987.4859
525.71  1993.3725
525.81  1984.3652
525.91  1982.679
526.01  1977.0476
526.11  1974.0391
526.21  1988.3214
526.31  1995.4858
526.41  1979.4093
526.51  1976.41
526.61  2007.2268
526.71  2030.9415
526.81  2031.4068
526.91  1991.8926
527.01  1984.5949
527.11  2028.502
527.21  2042.2077
527.31  2023.9924
527.41  1984.5585
527.51  2029.1825
527.61  2040.5226
527.71  2010.1308
527.81  2028.4958
527.91  2028.021
528.01  2038.6449
528.11  2044.3909
528.21  2007.8818
528.31  2017.1193
528.41  2030.5627
528.51  2008.8298
528.61  1987.4823
528.71  2049.2564
528.81  2054.2697
528.91  2041.121
529.01  2059.311
529.11  2075.0614
529.21  2075.9103
529.31  2069.8842
529.41  2083.7199
529.51  2076.9728
529.61  2065.2971
529.71  2053.8799
529.81  2083.3627
529.91  2106.848
530.01  2101.5936
530.11  2069.8352
530.21  2061.3149
530.31  2108.7438
530.41  2092.543
530.51  2131.1829
530.61  2158.4955
530.71  2121.9974
530.81  2150.9317
530.91  2162.185
531.01  2178.4723
531.11  2188.3184
531.21  2211.2533
531.31  2192.7755
531.41  2192.0783
531.51  2259.2328
531.61  2256.4439
531.71  2277.3164
531.81  2299.159
531.91  2342.8593
532.01  2371.2797
532.11  2400.428
532.21  2446.0799
532.31  2531.004
532.41  2563.4521
532.51  2661.7006
532.61  2759.8224
532.71  2828.7476
532.81  2852.1055
532.91  2937.8427
533.01  3026.1988
533.11  3054.7049
533.21  3041.4916
533.31  3044.8311
533.41  3000.402
533.51  2935.1012
533.61  2818.0224
533.71  2773.1297
533.81  2659.9955
533.91  2576.7789
534.01  2501.8919
534.11  2429.1481
534.21  2365.9603
534.31  2299.173
534.41  2249.8271
534.51  2222.9599
534.61  2178.0514
534.71  2174.1659
534.81  2136.0917
534.91  2116.4541
535.01  2112.7133
535.11  2107.612
535.21  2074.0056
535.31  2097.9156
535.41  2066.1609
535.51  2041.3052
535.61  2050.9336
535.71  2086.3027
535.81  2022.8544
535.91  2033.159
536.01  2062.1189
536.11  2041.6095
536.21  2033.4755
536.31  2023.5241
536.41  2009.4109
536.51  1999.9367
536.61  2001.8994
536.71  2027.7726
536.81  2004.4152
536.91  1977.8675
537.01  1991.4052
537.11  2002.7007
537.21  1996.6869
537.31  2018.3366
537.41  1994.2002
537.51  1997.8029
537.61  2020.5378
537.71  1992.4148
537.81  2002.9305
537.91  1987.9341
538.01  1984.8897
538.11  1966.3893
538.21  1961.0742
538.31  1933.7703
538.41  1979.0199
538.51  1967.3092
538.61  1956.5894
538.71  1921.417
538.81  1953.4976
538.91  1971.223
539.01  1918.4616
539.11  1918.2292
539.21  1914.8948
539.31  1922.6451
539.41  1957.0631
539.51  1946.9523
539.61  1974.4967
539.71  1934.7501
539.81  1900.1332
