# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Transmission cyclic
#
# Region:                       CuLMM4
# Spectrum ID:                  17
# Acquisition Date:             06/01/22 13:24:02 UTC
# Analysis Method:              XPS
# Analyzer Lens:                SmallArea:1.5kV
# Analyzer Slit:                4:7x20c\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 201
# Dwell Time:                   0.5
# Excitation Energy:            1486.61
# Kinetic Energy:               906.61
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1850
# Eff. Workfunction:            4.14
# Source:                       X-Ray Dummy
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 50

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/01/22 13:24:02 UTC
# ColumnLabels:                 energy counts/s
#
906.61  1170.6813
906.71  1178.7656
906.81  1169.801
906.91  1180.7072
907.01  1176.7295
907.11  1192.2778
907.21  1190.6735
907.31  1187.8512
907.41  1184.7126
907.51  1186.0972
907.61  1188.5658
907.71  1181.947
907.81  1189.626
907.91  1186.2293
908.01  1190.3343
908.11  1183.3054
908.21  1177.3104
908.31  1183.0526
908.41  1189.5249
908.51  1187.7052
908.61  1195.3771
908.71  1193.8208
908.81  1191.4545
908.91  1187.6367
909.01  1184.8096
909.11  1192.9331
909.21  1189.4758
909.31  1187.6271
909.41  1186.7366
909.51  1183.2085
909.61  1182.0882
909.71  1198.0656
909.81  1195.6628
909.91  1200.1544
910.01  1203.5961
910.11  1192.6599
910.21  1189.3834
910.31  1205.9456
910.41  1202.0918
910.51  1195.9763
910.61  1190.411
910.71  1194.5506
910.81  1205.3463
910.91  1202.2726
911.01  1216.6003
911.11  1212.0723
911.21  1218.4155
911.31  1221.271
911.41  1220.8134
911.51  1230.031
911.61  1226.7635
911.71  1235.7439
911.81  1239.9728
911.91  1244.3844
912.01  1247.8499
912.11  1251.3068
912.21  1262.1885
912.31  1248.0941
912.41  1242.1768
912.51  1257.0121
912.61  1264.7075
912.71  1262.7151
912.81  1268.1165
912.91  1278.5399
913.01  1271.0868
913.11  1267.5941
913.21  1266.8688
913.31  1267.7783
913.41  1260.7489
913.51  1258.4945
913.61  1254.3039
913.71  1276.3526
913.81  1264.8303
913.91  1267.1203
914.01  1278.2207
914.11  1272.8663
914.21  1271.4452
914.31  1274.2382
914.41  1290.0972
914.51  1290.5286
914.61  1303.8538
914.71  1307.414
914.81  1303.7023
914.91  1313.9967
915.01  1309.8407
915.11  1317.2195
915.21  1319.892
915.31  1330.4259
915.41  1318.383
915.51  1316.5123
915.61  1323.0591
915.71  1336.3752
915.81  1336.9453
915.91  1342.4809
916.01  1345.8051
916.11  1343.9666
916.21  1356.6689
916.31  1369.9848
916.41  1387.9721
916.51  1403.3737
916.61  1424.1049
916.71  1444.545
916.81  1471.5644
916.91  1496.0939
917.01  1525.2533
917.11  1549.9064
917.21  1581.8709
917.31  1631.5664
917.41  1670.6847
917.51  1685.2408
917.61  1694.8054
917.71  1689.8709
917.81  1666.8241
917.91  1654.0362
918.01  1613.9641
918.11  1574.202
918.21  1536.1068
918.31  1491.0231
918.41  1445.76
918.51  1416.8319
918.61  1391.8097
918.71  1360.7894
918.81  1339.4164
918.91  1323.6659
919.01  1299.3406
919.11  1273.4157
919.21  1269.6692
919.31  1258.5344
919.41  1245.3268
919.51  1237.9618
919.61  1208.1947
919.71  1219.8166
919.81  1227.85
919.91  1231.1039
920.01  1241.0276
920.11  1240.9583
920.21  1246.3581
920.31  1251.3523
920.41  1251.1182
920.51  1249.7161
920.61  1249.538
920.71  1220.1722
920.81  1198.9267
920.91  1200.0546
921.01  1163.4308
921.11  1152.9322
921.21  1149.4189
921.31  1142.4969
921.41  1119.5335
921.51  1109.5029
921.61  1089.2444
921.71  1084.6266
921.81  1083.8838
921.91  1074.7986
922.01  1077.7097
922.11  1072.6597
922.21  1074.286
922.31  1065.6339
922.41  1064.203
922.51  1062.2953
922.61  1060.9775
922.71  1056.3849
922.81  1055.0369
922.91  1071.1765
923.01  1069.7946
923.11  1068.93
923.21  1059.7533
923.31  1061.0845
923.41  1060.8336
923.51  1058.1572
923.61  1048.2969
923.71  1059.8606
923.81  1051.0587
923.91  1052.9357
924.01  1058.6383
924.11  1057.9762
924.21  1048.0446
924.31  1033.4321
924.41  1052.561
924.51  1058.9545
924.61  1043.5209
924.71  1048.2343
924.81  1047.7568
924.91  1051.3716
925.01  1042.0077
925.11  1038.2092
925.21  1038.096
925.31  1040.0018
925.41  1039.3103
925.51  1049.4697
925.61  1052.3133
925.71  1050.6653
925.81  1044.909
925.91  1036.6337
926.01  1040.7474
926.11  1050.2788
926.21  1045.8834
926.31  1043.7186
926.41  1032.1567
926.51  1040.9227
926.61  1037.1955

# External Channel Data Cycle: 0, Temp1_Sen [K] (EBH 150)
#
# ColumnLabels: energy Temp1_Sen [K] (EBH 150)
#
906.61 325.25376000000006
906.71 325.25244000000004
906.81 325.25074000000001
906.91 325.24974000000003
907.01 325.24786000000017
907.11 325.24660000000006
907.21 325.24511999999993
907.31 325.24349999999993
907.41 325.2419999999999
907.51 325.24091999999996
907.61 325.23987999999991
907.71 325.23857999999996
907.81 325.23790000000002
907.91 325.23677999999995
908.01 325.23423999999994
908.11 325.23309999999998
908.21 325.23187999999993
908.31 325.22953999999993
908.41 325.22808000000003
908.51 325.22674000000001
908.61 325.22681999999992
908.71 325.22549999999995
908.81 325.22379999999993
908.91 325.22318000000001
909.01 325.22108000000009
909.11 325.22046000000012
909.21 325.21826000000004
909.31 325.21699999999998
909.41 325.21634
909.51 325.21405999999996
909.61 325.21289999999999
909.71 325.21167999999994
909.81 325.21057999999999
909.91 325.20949999999999
910.01 325.20803999999998
910.11 325.20697999999999
910.21 325.20498000000003
910.31 325.20360000000005
910.41 325.20191999999997
910.51 325.20125999999999
910.61 325.20052000000004
910.71 325.19870000000003
910.81 325.19821999999999
910.91 325.19589999999988
911.01 325.19439999999997
911.11 325.19281999999998
911.21 325.19127999999995
911.31 325.18999999999994
911.41 325.18898000000002
911.51 325.18748000000005
911.61 325.18603999999993
911.71 325.18509999999998
911.81 325.18356000000006
911.91 325.18172000000004
912.01 325.18109999999996
912.11 325.17936000000003
912.21 325.17819999999995
912.31 325.1770800000001
912.41 325.17625999999996
912.51 325.17467999999997
912.61 325.17341999999996
912.71 325.17243999999994
912.81 325.17039999999992
912.91 325.16853999999995
913.01 325.16744
913.11 325.16618000000005
913.21 325.16579999999999
913.31 325.16354000000001
913.41 325.16236000000004
913.51 325.16158000000013
913.61 325.16028
913.71 325.15860000000009
913.81 325.15623999999991
913.91 325.15609999999998
914.01 325.1541400000001
914.11 325.15275999999989
914.21 325.15179999999998
914.31 325.15024
914.41 325.14875999999998
914.51 325.14784000000003
914.61 325.14598000000001
914.71 325.14508000000001
914.81 325.14410000000004
914.91 325.14233999999999
915.01 325.14115999999996
915.11 325.13955999999996
915.21 325.13818000000003
915.31 325.13646
915.41 325.13558000000006
915.51 325.13412000000011
915.61 325.13298000000003
915.71 325.13151999999991
915.81 325.13058000000007
915.91 325.12936000000008
916.01 325.12746000000004
916.11 325.12619999999998
916.21 325.12465999999995
916.31 325.12392000000006
916.41 325.12318000000005
916.51 325.12179999999995
916.61 325.11985999999996
916.71 325.11849999999993
916.81 325.11812000000003
916.91 325.11656000000005
917.01 325.11356000000001
917.11 325.11324000000002
917.21 325.11226000000005
917.31 325.11102000000005
917.41 325.10924000000006
917.51 325.10834
917.61 325.10698000000002
917.71 325.10612000000003
917.81 325.10376000000014
917.91 325.10154
918.01 325.10060000000004
918.11 325.09924000000007
918.21 325.09816000000012
918.31 325.09716000000009
918.41 325.09590000000003
918.51 325.09471999999994
918.61 325.09305999999992
918.71 325.09125999999998
918.81 325.09053999999998
918.91 325.08893999999992
919.01 325.0877799999999
919.11 325.08661999999998
919.21 325.08546000000001
919.31 325.08295999999996
919.41 325.0822
