# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Transmission cyclic
#
# Region:                       As3d1
# Spectrum ID:                  4
# Acquisition Date:             06/01/22 08:46:32 UTC
# Analysis Method:              XPS
# Analyzer Lens:                SmallArea:1.5kV
# Analyzer Slit:                4:7x20c\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 181
# Dwell Time:                   0.1
# Excitation Energy:            1486.61
# Kinetic Energy:               1434.61
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1850
# Eff. Workfunction:            4.14
# Source:                       X-Ray Dummy
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 10

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/01/22 08:46:32 UTC
# ColumnLabels:                 energy counts/s
#
1434.61  393.69043
1434.71  412.36708
1434.81  478.99939
1434.91  492.02523
1435.01  438.90791
1435.11  468.44646
1435.21  456.64998
1435.31  412.46727
1435.41  447.52181
1435.51  461.51403
1435.61  454.0293
1435.71  429.38783
1435.81  460.08997
1435.91  460.54911
1436.01  459.14524
1436.11  452.31993
1436.21  426.32715
1436.31  397.18931
1436.41  417.17165
1436.51  461.0095
1436.61  399.11311
1436.71  423.18488
1436.81  443.26396
1436.91  395.08644
1437.01  404.77573
1437.11  408.90994
1437.21  430.9384
1437.31  404.49813
1437.41  399.91266
1437.51  369.96944
1437.61  403.44855
1437.71  408.09279
1437.81  393.41542
1437.91  376.06002
1438.01  376.41093
1438.11  371.42168
1438.21  348.86504
1438.31  351.52938
1438.41  391.98523
1438.51  379.79041
1438.61  360.78502
1438.71  374.75757
1438.81  370.53094
1438.91  373.63179
1439.01  391.19957
1439.11  378.72972
1439.21  390.02619
1439.31  378.69441
1439.41  387.3974
1439.51  365.48148
1439.61  398.83429
1439.71  386.45659
1439.81  374.69273
1439.91  402.22558
1440.01  438.9678
1440.11  385.92278
1440.21  399.50801
1440.31  407.98227
1440.41  420.95041
1440.51  446.97506
1440.61  430.32249
1440.71  435.6983
1440.81  461.24515
1440.91  486.11088
1441.01  470.47245
1441.11  475.04118
1441.21  505.89911
1441.31  511.15461
1441.41  527.58306
1441.51  582.11458
1441.61  524.5575
1441.71  506.999
1441.81  566.94031
1441.91  490.10673
1442.01  485.66116
1442.11  520.23087
1442.21  501.73367
1442.31  489.96718
1442.41  481.95018
1442.51  503.24521
1442.61  522.08641
1442.71  562.4696
1442.81  579.83363
1442.91  603.71124
1443.01  710.58956
1443.11  804.35532
1443.21  895.74323
1443.31  1197.868
1443.41  1503.4753
1443.51  2005.616
1443.61  2663.6914
1443.71  3273.5189
1443.81  3807.6127
1443.91  4028.8803
1444.01  4038.5697
1444.11  3968.4287
1444.21  3960.5468
1444.31  4337.4563
1444.41  4766.9675
1444.51  4948.6095
1444.61  4805.0037
1444.71  4169.0346
1444.81  3358.0201
1444.91  2531.3547
1445.01  1761.4231
1445.11  1164.8069
1445.21  796.4097
1445.31  550.96029
1445.41  385.99117
1445.51  304.88749
1445.61  239.35794
1445.71  225.1647
1445.81  209.87278
1445.91  179.37488
1446.01  164.32186
1446.11  147.99394
1446.21  131.51848
1446.31  143.0801
1446.41  117.61214
1446.51  110.75368
1446.61  116.99896
1446.71  124.92517
1446.81  113.69063
1446.91  128.02343
1447.01  132.51158
1447.11  112.15185
1447.21  114.21562
1447.31  99.89722
1447.41  103.05736
1447.51  90.475345
1447.61  106.55084
1447.71  118.75166
1447.81  104.55106
1447.91  91.598925
1448.01  110.55045
1448.11  109.69116
1448.21  87.919795
1448.31  112.43903
1448.41  103.37564
1448.51  109.5544
1448.61  104.62749
1448.71  88.01498
1448.81  73.874971
1448.91  86.545984
1449.01  93.897004
1449.11  102.26869
1449.21  83.533465
1449.31  84.275097
1449.41  86.352122
1449.51  99.890491
1449.61  113.39872
1449.71  95.263332
1449.81  94.646771
1449.91  123.22999
1450.01  116.18993
1450.11  114.70327
1450.21  93.502145
1450.31  75.478349
1450.41  103.2482
1450.51  87.339179
1450.61  82.415468
1450.71  86.379634
1450.81  90.322405
1450.91  96.28719
1451.01  102.9525
1451.11  87.487771
1451.21  86.171762
1451.31  97.051054
1451.41  104.24532
1451.51  94.356214
1451.61  96.811655
1451.71  91.680433
1451.81  90.576201
1451.91  89.427092
1452.01  100.34515
1452.11  87.933685
1452.21  83.854164
