# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Transmission cyclic
#
# Region:                       Wide3
# Spectrum ID:                  7
# Acquisition Date:             06/01/22 09:47:32 UTC
# Analysis Method:              XPS
# Analyzer Lens:                SmallArea:1.5kV
# Analyzer Slit:                4:7x20c\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 1106
# Dwell Time:                   0.1
# Excitation Energy:            1486.61
# Kinetic Energy:               386.61
# Pass Energy:                  100
# Bias Voltage:                 90
# Detector Voltage:             1850
# Eff. Workfunction:            4.14
# Source:                       X-Ray Dummy
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 1

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/01/22 09:47:32 UTC
# ColumnLabels:                 energy counts/s
#
386.61  46987.374
387.61  48122.247
388.61  48617.941
389.61  48502.441
390.61  48531.589
391.61  47774.776
392.61  46827.814
393.61  45556.028
394.61  46534.15
395.61  46765.271
396.61  48679.825
397.61  46963.221
398.61  45623.531
399.61  44796.18
400.61  45617.646
401.61  47013.233
402.61  47123.209
403.61  46629.011
404.61  46422.091
405.61  46329.767
406.61  47669.07
407.61  46662.368
408.61  46616.085
409.61  47108.813
410.61  46381.652
411.61  48228.028
412.61  47801.116
413.61  47475.218
414.61  48818.057
415.61  48682.114
416.61  47415.195
417.61  48613.409
418.61  48238.691
419.61  47683.808
420.61  47879.429
421.61  48714.779
422.61  48243.894
423.61  48950.975
424.61  49153.35
425.61  48486.297
426.61  49518.55
427.61  50127.15
428.61  50047.035
429.61  50112.684
430.61  49074.557
431.61  51026.902
432.61  50638.761
433.61  49814.219
434.61  50574.028
435.61  50763.438
436.61  50626.665
437.61  50792.119
438.61  50698.197
439.61  52068.646
440.61  52330.597
441.61  51448.758
442.61  51438.356
443.61  51576.631
444.61  51340.74
445.61  52473.843
446.61  52406.28
447.61  52925.864
448.61  53163.172
449.61  52848.261
450.61  53042.47
451.61  54833.479
452.61  52956.778
453.61  54206.75
454.61  53591.628
455.61  55034.24
456.61  53891.49
457.61  53817.572
458.61  53485.867
459.61  53435.64
460.61  54415.192
461.61  55858.993
462.61  56904.202
463.61  56278.578
464.61  56496.787
465.61  54602.553
466.61  56699.914
467.61  57195.746
468.61  57380.871
469.61  56798.645
470.61  57685.53
471.61  57633.938
472.61  56948.57
473.61  56469.074
474.61  56868.865
475.61  56498.507
476.61  58205.242
477.61  59205.04
478.61  59448.344
479.61  58334.455
480.61  59077.359
481.61  58853.004
482.61  60283.733
483.61  60227.424
484.61  59427.44
485.61  59836.063
486.61  59815.158
487.61  60496.57
488.61  62425.607
489.61  61223.858
490.61  60869.479
491.61  62677.205
492.61  62235.753
493.61  62976.33
494.61  62695.91
495.61  64266.65
496.61  65293.988
497.61  64618.102
498.61  64625.606
499.61  62946.67
500.61  62579.181
501.61  64392.646
502.61  62653.106
503.61  63212.011
504.61  64216.692
505.61  65362.569
506.61  66203.758
507.61  64774.079
508.61  63982.064
509.61  66581.21
510.61  65512.93
511.61  67246.855
512.61  66762.677
513.61  67043.762
514.61  67032.251
515.61  67669.977
516.61  69174.529
517.61  67417.298
518.61  67250.414
519.61  68041.373
520.61  68917.546
521.61  68859.178
522.61  67355.376
523.61  66893.785
524.61  65978.801
525.61  65730.606
526.61  67617.622
527.61  67732.795
528.61  68514.607
529.61  69817.094
530.61  72844.329
531.61  78779.719
532.61  89503.594
533.61  91074.399
534.61  79791.153
535.61  73077.492
536.61  69664.082
537.61  68924.641
538.61  67823.99
539.61  65612.918
540.61  64456.407
541.61  63134.213
542.61  63525.371
543.61  61746.539
544.61  59097.132
545.61  58212.493
546.61  57814.424
547.61  56669.411
548.61  59057.766
549.61  61125.648
550.61  67527.95
551.61  82871.983
552.61  110212.18
553.61  102231.57
554.61  74255.004
555.61  58167.453
556.61  53185.464
557.61  53676.264
558.61  53683.625
559.61  53143.922
560.61  53625.884
561.61  52817.532
562.61  53098
563.61  52848.733
564.61  53906.819
565.61  53102.003
566.61  53867.085
567.61  53946.294
568.61  52304.45
569.61  53541.379
570.61  53857.458
571.61  53395.841
572.61  53630.866
573.61  54604.86
574.61  54357.362
575.61  53278.387
576.61  54754.004
577.61  54751.027
578.61  56339.935
579.61  55871.882
580.61  54818.288
581.61  56135.33
582.61  57399.543
583.61  56904.06
584.61  57573.192
585.61  58023.755
586.61  57632.224
587.61  58717.435
588.61  58225.498
589.61  57172.684
590.61  57166.55
591.61  55118.821
592.61  53978.901
593.61  53016.973
594.61  54146.819
595.61  53296.271
596.61  53289.719
597.61  53552.524
598.61  51854.429
599.61  52617.2
600.61  52604.76
601.61  52726.709
602.61  52800.071
603.61  52949.709
604.61  52738.716
605.61  53779.24
606.61  53747.818
607.61  54299.638
608.61  54146.504
609.61  53815.916
610.61  54181.459
611.61  53606.951
612.61  55447.438
613.61  54547.415
614.61  54409.351
615.61  53430.283
616.61  54500.322
617.61  54777.389
618.61  54309.357
619.61  55625.116
620.61  56080.904
621.61  55573.754
622.61  54464.311
623.61  54999.45
624.61  55625.346
625.61  56257.501
626.61  55279.562
627.61  55675.347
628.61  56298.926
629.61  54912.288
630.61  56764.495
631.61  57779.148
632.61  57895.771
633.61  58274.883
634.61  59046.897
635.61  58929.807
636.61  58381.293
637.61  59304.301
638.61  57311.587
639.61  57170.251
640.61  56556.631
641.61  57411.169
642.61  57000.333
643.61  57645.621
644.61  56276.671
645.61  57906.683
646.61  55976.333
647.61  56032.077
648.61  57849.871
649.61  57894.437
650.61  57387.787
651.61  57092.776
652.61  58067.074
653.61  57009.236
654.61  56963.736
655.61  57854.575
656.61  57965.314
657.61  58627.429
658.61  57156.012
659.61  57817.238
660.61  58562.004
661.61  58783.422
662.61  59359.321
663.61  57667.75
664.61  58696.747
665.61  58424.071
666.61  58946.728
667.61  58801.36
668.61  60159.226
669.61  61204.072
670.61  59982.07
671.61  59522.928
672.61  59886.909
673.61  60364.45
674.61  60000.515
675.61  59621.075
676.61  60657.387
677.61  59983.479
678.61  60430.693
679.61  60828.581
680.61  61796.632
681.61  61394.786
682.61  61755.945
683.61  61859.178
684.61  62462.048
685.61  62585.802
686.61  62502.075
687.61  61420.072
688.61  63194.462
689.61  63432.706
690.61  62748.087
691.61  62952.789
692.61  62349.912
693.61  62892.045
694.61  63667.733
695.61  62969.903
696.61  63072.886
697.61  63955.105
698.61  63312.839
699.61  63346.589
700.61  63778.974
701.61  63951.805
702.61  64355.145
703.61  64895.478
704.61  66484.572
705.61  66068.171
706.61  63160.806
707.61  62963.938
708.61  66089.287
709.61  66900.131
710.61  66944.172
711.61  65527.238
712.61  66971.519
713.61  66668.843
714.61  66186.007
715.61  67610.318
716.61  68736.156
717.61  68705.207
718.61  67641.775
719.61  68051.527
720.61  67855.478
721.61  65191.367
722.61  64376.997
723.61  64340.854
724.61  65833.466
725.61  66143.92
726.61  66482.241
727.61  65510.757
728.61  64163.212
729.61  64690.514
730.61  65697.4
731.61  65725.346
732.61  65354.185
733.61  65458.601
734.61  66241.78
735.61  67318.688
736.61  66047.736
737.61  66628.019
738.61  67184.272
739.61  67601.385
740.61  67252.115
741.61  68559.833
742.61  68829.726
743.61  68557.527
744.61  68269.583
745.61  68263.525
746.61  69427.446
747.61  67863.652
748.61  69076.094
749.61  69188.265
750.61  70421.07
751.61  68659.203
752.61  69418.533
753.61  70350.034
754.61  69213.57
755.61  70031.298
756.61  71252.408
757.61  69895.133
758.61  68943.238
759.61  70417.839
760.61  69943.435
761.61  70495.434
762.61  70939.074
763.61  72144.607
764.61  71411.766
765.61  71803.801
766.61  70528.127
767.61  72214.052
768.61  70350.094
769.61  71535.838
770.61  71509.897
771.61  71335.215
772.61  72064.035
773.61  71790.631
774.61  72094.394
775.61  69774.798
776.61  71072.926
777.61  69895.395
778.61  69864.042
779.61  69259.707
780.61  69354.004
781.61  68875.392
782.61  67852.452
783.61  68505.696
784.61  68230.769
785.61  68534.361
786.61  69096.636
787.61  69498.163
788.61  69794.677
789.61  68393.012
790.61  69807.303
791.61  69629.952
792.61  69376.118
793.61  68616.67
794.61  69120.504
795.61  71554.937
796.61  70526.563
797.61  69480.822
798.61  69119.415
799.61  70925.816
800.61  71068.507
801.61  69800.663
802.61  70692.299
803.61  71863.138
804.61  70568.343
805.61  72210.389
806.61  73654.908
807.61  73814.077
808.61  72719.777
809.61  73988.671
810.61  72898.925
811.61  73298.504
812.61  73808.451
813.61  75012.11
814.61  76396.131
815.61  75472.139
816.61  75458.595
817.61  74628.306
818.61  77257.944
819.61  76454.259
820.61  76798.208
821.61  77841.459
822.61  77863.695
823.61  77006.328
824.61  79423.042
825.61  78859.717
826.61  79019.825
827.61  81592.492
828.61  82023.703
829.61  80380.646
830.61  81171.242
831.61  80934.845
832.61  81472.585
833.61  82202.919
834.61  83767.604
835.61  84451.952
836.61  83176.076
837.61  83749.247
838.61  83760.869
839.61  82833.992
840.61  81487.705
841.61  80150.762
842.61  81040.712
843.61  81018.828
844.61  82828.49
845.61  83824.543
846.61  84324.535
847.61  76069.486
848.61  69891.383
849.61  66408.86
850.61  62190.506
851.61  61289.401
852.61  62535.541
853.61  61697.199
854.61  62166.046
855.61  63049.164
856.61  64052.125
857.61  62208.39
858.61  61382.569
859.61  62426.937
860.61  60844.266
861.61  60833.628
862.61  61193.72
863.61  61151.717
864.61  60172.925
865.61  62206.644
866.61  63044.561
867.61  61385.917
868.61  61337.642
869.61  60627.033
870.61  62096.361
871.61  62332.355
872.61  61494.188
873.61  63114.898
874.61  61387.756
875.61  61628.253
876.61  61786.736
877.61  62431.658
878.61  61902.173
879.61  64186.351
880.61  63651.497
881.61  62596.72
882.61  62312.083
883.61  61827.619
884.61  61104.898
885.61  63231.356
886.61  63860.753
887.61  63550.775
888.61  64123.903
889.61  64411.985
890.61  64855.457
891.61  65017.96
892.61  65286.242
893.61  66649.915
894.61  65597.872
895.61  66514.53
896.61  67146.653
897.61  66690.334
898.61  65989.888
899.61  65492.782
900.61  65861.576
901.61  64916.186
902.61  64641.805
903.61  64835.091
904.61  64214.05
905.61  64510.607
906.61  63705.386
907.61  63994.997
908.61  64743.777
909.61  64765.387
910.61  65434.248
911.61  67742.668
912.61  69441.462
913.61  70972.847
914.61  72397.622
915.61  73419.777
916.61  76883.827
917.61  80182.99
918.61  74156.319
919.61  67909.862
920.61  64795.136
921.61  60074.704
922.61  58834.143
923.61  58096.891
924.61  56942.25
925.61  56870.069
926.61  56596.894
927.61  56805.249
928.61  56208.585
929.61  54740.662
930.61  56044.384
931.61  55726.626
932.61  57499.696
933.61  55706.847
934.61  56258.995
935.61  57638.964
936.61  58567.382
937.61  57814.545
938.61  56705.065
939.61  55976.416
940.61  54485.648
941.61  55038.892
