# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Transmission cyclic
#
# Region:                       Mn2p3
# Spectrum ID:                  9
# Acquisition Date:             06/01/22 10:10:23 UTC
# Analysis Method:              XPS
# Analyzer Lens:                SmallArea:1.5kV
# Analyzer Slit:                4:7x20c\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 181
# Dwell Time:                   0.1
# Excitation Energy:            1486.61
# Kinetic Energy:               834.61
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1850
# Eff. Workfunction:            4.14
# Source:                       X-Ray Dummy
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 45

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/01/22 10:10:23 UTC
# ColumnLabels:                 energy counts/s
#
834.61  6599.4859
834.71  6609.4998
834.81  6678.6218
834.91  6664.2316
835.01  6604.7838
835.11  6641.5091
835.21  6626.8821
835.31  6630.0236
835.41  6657.9392
835.51  6689.5312
835.61  6640.7679
835.71  6691.3074
835.81  6631.8888
835.91  6672.001
836.01  6654.1483
836.11  6745.1428
836.21  6692.1265
836.31  6562.2119
836.41  6553.4092
836.51  6569.0137
836.61  6545.3657
836.71  6490.0624
836.81  6466.8623
836.91  6459.5764
837.01  6424.778
837.11  6450.4715
837.21  6460.4972
837.31  6451.155
837.41  6551.5852
837.51  6509.234
837.61  6523.8053
837.71  6555.7666
837.81  6591.6391
837.91  6632.2188
838.01  6583.5221
838.11  6540.9316
838.21  6600.7226
838.31  6545.1136
838.41  6596.6626
838.51  6518.0162
838.61  6544.7085
838.71  6527.9313
838.81  6534.7176
838.91  6484.9194
839.01  6466.8437
839.11  6482.9193
839.21  6438.815
839.31  6388.4956
839.41  6303.0239
839.51  6329.8775
839.61  6393.483
839.71  6314.7647
839.81  6289.0267
839.91  6326.9251
840.01  6267.6199
840.11  6318.9513
840.21  6262.633
840.31  6319.0543
840.41  6235.7791
840.51  6250.1414
840.61  6196.0425
840.71  6193.5515
840.81  6190.7521
840.91  6165.0329
841.01  6205.9047
841.11  6127.2791
841.21  6145.8487
841.31  6155.5366
841.41  6230.074
841.51  6138.7731
841.61  6175.8429
841.71  6133.7557
841.81  6152.2064
841.91  6178.2475
842.01  6182.4242
842.11  6185.6215
842.21  6155.0146
842.31  6173.2728
842.41  6234.6351
842.51  6208.8219
842.61  6208.5887
842.71  6170.2968
842.81  6239.0663
842.91  6211.7195
843.01  6215.6384
843.11  6320.5328
843.21  6306.2277
843.31  6242.9245
843.41  6365.8544
843.51  6299.0371
843.61  6312.5239
843.71  6356.1036
843.81  6391.07
843.91  6334.6891
844.01  6366.8317
844.11  6410.3132
844.21  6447.3007
844.31  6483.1322
844.41  6536.7963
844.51  6514.6011
844.61  6542.3909
844.71  6611.8451
844.81  6629.5268
844.91  6612.2996
845.01  6647.7472
845.11  6717.7336
845.21  6769.1387
845.31  6750.1028
845.41  6830.2608
845.51  6886.2998
845.61  6940.6665
845.71  7040.805
845.81  7065.9934
845.91  7003.797
846.01  7068.4756
846.11  7033.2736
846.21  7124.7392
846.31  7083.094
846.41  7069.2868
846.51  7061.5354
846.61  6927.4201
846.71  6888.6198
846.81  6876.3497
846.91  6856.333
847.01  6817.3765
847.11  6763.8243
847.21  6686.5618
847.31  6567.5672
847.41  6505.6528
847.51  6364.8249
847.61  6254.9318
847.71  6037.8602
847.81  5835.0397
847.91  5613.3427
848.01  5430.0385
848.11  5283.8751
848.21  5173.3099
848.31  5189.5336
848.41  5128.5504
848.51  5112.1696
848.61  5074.9235
848.71  5057.4744
848.81  5033.2449
848.91  4966.5841
849.01  4992.1342
849.11  4934.1076
849.21  4975.4228
849.31  4939.9972
849.41  4982.5349
849.51  4926.4932
849.61  4907.9612
849.71  4900.7162
849.81  4884.5215
849.91  4906.0746
850.01  4872.8363
850.11  4880.0633
850.21  4886.8094
850.31  4814.2349
850.41  4740.4192
850.51  4817.345
850.61  4907.2172
850.71  4845.6553
850.81  4804.8585
850.91  4790.5989
851.01  4837.4011
851.11  4813.6246
851.21  4757.1867
851.31  4830.4691
851.41  4781.6577
851.51  4754.1549
851.61  4767.8591
851.71  4712.9787
851.81  4783.6184
851.91  4754.0355
852.01  4754.1499
852.11  4750.9534
852.21  4768.6966
852.31  4797.4663
852.41  4771.2977
852.51  4770.8752
852.61  4733.4717

# External Channel Data Cycle: 0, Temp1_Sen [K] (EBH 150)
#
# ColumnLabels: energy Temp1_Sen [K] (EBH 150)
#
834.61 414.69928888888876
834.71 414.69926666666657
834.81 414.69864444444431
834.91 414.69884444444438
835.01 414.69911111111099
835.11 414.69966666666659
835.21 414.6994222222221
835.31 414.69955555555549
835.41 414.69833333333332
835.51 414.69811111111107
835.61 414.69733333333329
835.71 414.69733333333329
835.81 414.69737777777783
835.91 414.69737777777772
836.01 414.69724444444438
836.11 414.69706666666661
836.21 414.69717777777777
836.31 414.69720000000001
836.41 414.69735555555548
836.51 414.69715555555553
836.61 414.69737777777772
836.71 414.69748888888887
836.81 414.69628888888894
836.91 414.69648888888901
837.01 414.69646666666665
837.11 414.69586666666669
837.21 414.6962444444444
837.31 414.69608888888888
837.41 414.69553333333329
837.51 414.69542222222219
837.61 414.69484444444447
