BE/eV	PE: 1486.61 eV
1095.86	3415.52
1094.86	3351.79
1093.86	3436.78
1092.86	3419.19
1091.86	3442.84
1090.86	3451.22
1089.86	3524.3
1088.86	3511.45
1087.86	3492.03
1086.86	3520.88
1085.86	3592.59
1084.86	3571.36
1083.86	3563.82
1082.86	3598.79
1081.86	3520.56
1080.86	3542.98
1079.86	3433.47
1078.86	3484.06
1077.86	3536.67
1076.86	3615.93
1075.86	3522.29
1074.86	3682.43
1073.86	3667.92
1072.86	3749.47
1071.86	3723.75
1070.86	3598.17
1069.86	3589.34
1068.86	3728.81
1067.86	3690.22
1066.86	3784.13
1065.86	3733.44
1064.86	3733.69
1063.86	3652.76
1062.86	3720.34
1061.86	3821.08
1060.86	3749.83
1059.86	3900.35
1058.86	3681.24
1057.86	3755.69
1056.86	3744.68
1055.86	3741.33
1054.86	3845.49
1053.86	3866.61
1052.86	3742.13
1051.86	3769.22
1050.86	3854.63
1049.86	3842.22
1048.86	3781.95
1047.86	3857.58
1046.86	3892.11
1045.86	3901.33
1044.86	3892.19
1043.86	3942.36
1042.86	3902.77
1041.86	3923.78
1040.86	3831.1
1039.86	3934.74
1038.86	3808.99
1037.86	3935.94
1036.86	3987.16
1035.86	4088.07
1034.86	3998.05
1033.86	4031.81
1032.86	4040.74
1031.86	4072.2
1030.86	4037.47
1029.86	4000.91
1028.86	4039.3
1027.86	4062.1
1026.86	4111.44
1025.86	4184.59
1024.86	4034.13
1023.8599999999999	4068.43
1022.8599999999999	4136.33
1021.8599999999999	4170.22
1020.8599999999999	4172.96
1019.8599999999999	4173.01
1018.8599999999999	4109.39
1017.8599999999999	4160.94
1016.8599999999999	4173.41
1015.8599999999999	4139.37
1014.8599999999999	4208.36
1013.8599999999999	4228.45
1012.8599999999999	4215.16
1011.8599999999999	4299.47
1010.8599999999999	4280.55
1009.8599999999999	4309.52
1008.8599999999999	4167.7
1007.8599999999999	4227.65
1006.8599999999999	4369.01
1005.8599999999999	4340.32
1004.8599999999999	4380.49
